Disease trait	EFO term	EFO URI	Parent term	Parent URI
Parkinson's disease (motor and cognition)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (non-familial, age at onset)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (pesticide exposure interaction)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease in GBA mutation carriers (age at onset)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinsonism in frontotemporal lobe dementia	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Fasting glucose change	fasting blood glucose change measurement	http://www.ebi.ac.uk/efo/EFO_0010120	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Fasting glucose change (long-term)	fasting blood glucose change measurement	http://www.ebi.ac.uk/efo/EFO_0010120	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Fasting glucose change (short-term)	fasting blood glucose change measurement	http://www.ebi.ac.uk/efo/EFO_0010120	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute post-radiotherapy pain in breast cancer	pain	http://www.ebi.ac.uk/efo/EFO_0003843	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Arthritic-like pain in Charcot-Marie-Tooth type 1A	pain	http://www.ebi.ac.uk/efo/EFO_0003843	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Pain	pain	http://www.ebi.ac.uk/efo/EFO_0003843	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Pre-treatment pain in head and neck squamous cell carcinoma	pain	http://www.ebi.ac.uk/efo/EFO_0003843	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Aggressive prostate cancer	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cancer	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cancer (pleiotropy)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Erectile dysfunction and prostate cancer treatment	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (Gleason score)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (SNP x SNP interaction)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (advanced vs non-advanced)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (advanced)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (early onset)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer (survival)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer aggressiveness	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer aggressiveness (high vs low)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer aggressiveness (high vs low/intermediate)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Prostate cancer mortality	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to radiotherapy in cancer (late toxicity)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to radiotherapy in prostate cancer (overall toxicity)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to radiotherapy in prostate cancer (toxicity)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to radiotherapy in prostate cancer (toxicity, urinary frequency)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Toxicity response to radiotherapy in prostate cancer (increased urinary frequency) (time to event)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Toxicity response to radiotherapy in prostate cancer (rectal bleeding) (time to event)	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Urinary symptoms in response to radiotherapy in prostate cancer	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	http://www.orpha.net/ORDO/Orphanet_136	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Influenza (severity)	influenza infection	http://www.ebi.ac.uk/efo/EFO_0001669	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Chronic myeloid leukemia	chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Kidney stones	kidney stone	http://www.ebi.ac.uk/efo/EFO_0003845	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Blood protein levels	thrombospondin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0008299	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Brugada syndrome	Brugada syndrome	http://www.orpha.net/ORDO/Orphanet_130	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Diabetic maculopathy in type 2 diabetes	diabetic maculopathy	http://www.ebi.ac.uk/efo/EFO_0010133	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Diabetic maculopathy with decreased visual acuity in type 2 diabetes	diabetic maculopathy	http://www.ebi.ac.uk/efo/EFO_0010133	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Anemia in mycophenolic acid treated kidney transplant patients (time to event)	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Leukopenia in mycophenolic acid treated kidney transplant patients (time to event)	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Nephrotoxicity in cyclosporine-treated kidney transplant patients (time to event)	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Nephrotoxicity in tacrolimus-treated kidney transplant patients (time to event)	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
New onset diabetes in calcineurin inhibitor treated kidney transplant patients (time to event)	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Tacrolimus trough concentration in kidney transplant patients	kidney transplant	http://www.ebi.ac.uk/efo/EFO_0010134	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Urine specific gravity measurement	urine specific gravity measurement	http://www.ebi.ac.uk/efo/EFO_0010135	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Low urine pH	urinary pH measurement	http://www.ebi.ac.uk/efo/EFO_0010136	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Urine pH measurement	urinary pH measurement	http://www.ebi.ac.uk/efo/EFO_0010136	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Signs of urinary tract infection (nitrites and leukocyte esterase)	leukocyte esterase measurement	http://www.ebi.ac.uk/efo/EFO_0010137	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Signs of urinary tract infection (nitrites and leukocyte esterase)	nitrite measurement	http://www.ebi.ac.uk/efo/EFO_0010138	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Fish intake frequency	fish consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010139	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Mental health study participation (completed survey)	health study participation	http://www.ebi.ac.uk/efo/EFO_0010130	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Mental health study participation (provided email address)	health study participation	http://www.ebi.ac.uk/efo/EFO_0010130	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Walking difficulty in Charcot-Marie-Tooth disease 1A	decreased walking ability	http://www.ebi.ac.uk/efo/EFO_0010131	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Decreased fine motor function in Charcot-Marie-Tooth disease 1A (buttons, zippers, fasteners, bottles)	decreased fine motor function	http://www.ebi.ac.uk/efo/EFO_0010132	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Decreased fine motor function in Charcot-Marie-Tooth disease 1A (eating with utensils)	decreased fine motor function	http://www.ebi.ac.uk/efo/EFO_0010132	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Breslow thickness in cutaneous melanoma	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cutaneous malignant melanoma	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Nevus count or cutaneous melanoma	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Lipoprotein (a) - cholesterol levels	lipoprotein A measurement	http://www.ebi.ac.uk/efo/EFO_0006925	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein (a) levels	lipoprotein A measurement	http://www.ebi.ac.uk/efo/EFO_0006925	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	lipoprotein A measurement	http://www.ebi.ac.uk/efo/EFO_0006925	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms	lipoprotein A measurement	http://www.ebi.ac.uk/efo/EFO_0006925	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein phospholipase A2 activity in cardiovascular disease	lipoprotein-associated phospholipase a(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein-associated phospholipase A2 (red blood cell fatty acid level interaction)	lipoprotein-associated phospholipase a(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein-associated phospholipase A2 activity and mass	lipoprotein-associated phospholipase a(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	lipoprotein-associated phospholipase a(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Acute anterior uveitis in ankylosing spondylitis	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Ankylosing spondylitis	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Ankylosing spondylitis (SNP x SNP interaction)	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Multiple traits (pleiotropy)	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Pediatric autoimmune diseases	ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
N-terminal pro B-type natriuretic peptide levels	nt-probnp measurement	http://www.ebi.ac.uk/efo/EFO_0004745	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Natriuretic peptide levels	nt-probnp measurement	http://www.ebi.ac.uk/efo/EFO_0004745	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Cerebrospinal fluid levels of Alzheimer's disease-related proteins	matrix metalloproteinase measurement	http://www.ebi.ac.uk/efo/EFO_0004744	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Matrix metalloproteinase levels	matrix metalloproteinase measurement	http://www.ebi.ac.uk/efo/EFO_0004744	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Oral cancers (chewing tobacco related)	matrix metalloproteinase measurement	http://www.ebi.ac.uk/efo/EFO_0004744	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Cardiac muscle measurement	left ventricular hypertrophy	http://www.ebi.ac.uk/efo/EFO_0003896	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Facial morphology	facial morphology	http://www.ebi.ac.uk/efo/EFO_0004743	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Motion sickness	motion sickness	http://www.ebi.ac.uk/efo/EFO_0006928	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Gestational age at birth (child effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth (maternal effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in labor-initiated deliveries (child effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in labor-initiated deliveries (maternal effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post-term birth	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Spontaneous preterm birth (preterm birth)	birth measurement	http://www.ebi.ac.uk/efo/EFO_0006921	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Heart rate in heart failure with reduced ejection fraction	Reduced ejection fraction	http://purl.obolibrary.org/obo/HP_0012664	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Cerebrospinal fluid levels of Alzheimer's disease-related proteins	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Inflammatory biomarkers	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Monocyte chemoattractant protein-1 (red blood cell fatty acid level interaction)	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Monocyte chemoattractant protein-1 levels	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Protein quantitative trait loci	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Select biomarker traits	CCL2 measurement	http://www.ebi.ac.uk/efo/EFO_0004749	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Spontaneous preterm birth (preterm delivery)	delivery measurement	http://www.ebi.ac.uk/efo/EFO_0006922	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Hormone measurements	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Plasma thyroid-stimulating hormone levels	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Protein quantitative trait loci	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Quantitative traits	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Serum thyroid-stimulating hormone levels	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Thyroid hormone levels	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Thyroid stimulating hormone levels	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Number of children	fertility measurement	http://www.ebi.ac.uk/efo/EFO_0006923	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Number of children (6+ vs. 0 or 1)	fertility measurement	http://www.ebi.ac.uk/efo/EFO_0006923	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Number of live births	fertility measurement	http://www.ebi.ac.uk/efo/EFO_0006923	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Number of live births in continuous marriage	fertility measurement	http://www.ebi.ac.uk/efo/EFO_0006923	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
