	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
387	GCST000724	Neuroticism (age interaction)	Neuroticism (age interaction)	Neurological disorder
388	GCST000724	Neuroticism (age interaction)	Neuroticism (age interaction)	Other measurement
389	GCST004569	Neuroticism	Neuroticism	Neurological disorder
390	GCST004569	Neuroticism	Neuroticism	Other measurement
391	GCST000570	Major mood disorders	Major mood disorders	Neurological disorder
392	GCST000475	Height	Height	Other measurement
393	GCST000475	Height	Height	Body measurement
394	GCST000753	Metabolic syndrome	Metabolic syndrome	Body measurement
395	GCST000753	Metabolic syndrome	Metabolic syndrome	Lipid or lipoprotein measurement
396	GCST000753	Metabolic syndrome	Metabolic syndrome	Other measurement
397	GCST000753	Metabolic syndrome	Metabolic syndrome	Metabolic disorder
398	GCST000753	Metabolic syndrome	Metabolic syndrome	Metabolic disorder
399	GCST000693	Platelet aggregation	Platelet aggregation	Biological process
400	GCST000761	Lung adenocarcinoma	Lung adenocarcinoma	Cancer
401	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
402	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
403	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
404	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
405	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
406	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
407	GCST000462	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
408	GCST001283	Renal cell carcinoma	Renal cell carcinoma	Cancer
409	GCST000684	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	Neurological disorder
410	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
411	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
412	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
413	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
414	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
415	GCST000561	Electrocardiographic traits	Electrocardiographic traits	Cardiovascular measurement
416	GCST000586	Telomere length	Telomere length	Other measurement
417	GCST001270	Blood pressure	Blood pressure	Other measurement
418	GCST001270	Blood pressure	Blood pressure	Other measurement
419	GCST001270	Blood pressure	Blood pressure	Other measurement
420	GCST001270	Blood pressure	Blood pressure	Other measurement
421	GCST001270	Blood pressure	Blood pressure	Cardiovascular measurement
422	GCST000959	Parkinson's disease	Parkinson's disease	Neurological disorder
423	GCST000174	Height	Height	Other measurement
424	GCST000174	Height	Height	Body measurement
425	GCST000770	Emphysema-related traits	Emphysema-related traits	Other disease
426	GCST001018	Nephrotic syndrome (acquired)	Nephrotic syndrome (acquired)	Other disease
427	GCST000744	Height	Height	Other measurement
428	GCST000744	Height	Height	Body measurement
429	GCST000803	Glycated hemoglobin levels	Glycated hemoglobin levels	Other measurement
430	GCST000945	Coronary artery disease	Coronary artery disease	Cardiovascular disease
431	GCST000945	Coronary artery disease	Coronary artery disease	Cardiovascular disease
432	GCST000946	Myocardial infarction in coronary artery disease	Myocardial infarction in coronary artery disease	Cardiovascular disease
433	GCST000946	Myocardial infarction in coronary artery disease	Myocardial infarction in coronary artery disease	Cardiovascular disease
434	GCST000158	Bipolar disorder	Bipolar disorder	Neurological disorder
435	GCST000966	Diabetic retinopathy	Diabetic retinopathy	Metabolic disorder
436	GCST000784	Pseudoexfoliation syndrome	Pseudoexfoliation syndrome	Neurological disorder
437	GCST000732	Nevus count	Nevus count	Other measurement
438	GCST000745	Pancreatic cancer	Pancreatic cancer	Cancer
439	GCST000798	Glycated hemoglobin levels	Glycated hemoglobin levels	Other measurement
440	GCST000795	Refractive error	Refractive error	Other trait
441	GCST000064	Type 2 diabetes nephropathy	Type 2 diabetes nephropathy	Metabolic disorder
442	GCST000064	Type 2 diabetes nephropathy	Type 2 diabetes nephropathy	Metabolic disorder
443	GCST000769	Calcium levels	Calcium levels	Other measurement
444	GCST000577	Multiple sclerosis (severity)	Multiple sclerosis (severity)	Immune system disorder
445	GCST000617	Alcohol dependence	Alcohol dependence	Other measurement
446	GCST000617	Alcohol dependence	Alcohol dependence	Neurological disorder
447	GCST000971	PR interval	PR interval	Cardiovascular measurement
448	GCST000636	Brain cytoarchitecture	Brain cytoarchitecture	Other measurement
449	GCST000330	Asthma (toluene diisocyanate-induced)	Asthma (toluene diisocyanate-induced)	Other disease
450	GCST000304	Major depressive disorder	Major depressive disorder	Neurological disorder
451	GCST000294	Creutzfeldt-Jakob disease	Creutzfeldt-Jakob disease	Neurological disorder
452	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
453	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
454	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
455	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
456	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
457	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
458	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
459	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
460	GCST000814	Red blood cell traits	Red blood cell traits	Hematological measurement
461	GCST000004	QT interval	QT interval	Cardiovascular measurement
462	GCST001358	Bipolar disorder	Bipolar disorder	Neurological disorder
463	GCST000338	Coronary heart disease	Coronary heart disease	Cardiovascular disease
464	GCST000335	Thyroid cancer	Thyroid cancer	Cancer
465	GCST000319	Adiponectin levels	Adiponectin levels	Other measurement
466	GCST000634	Cognitive ability	Cognitive ability	Biological process
467	GCST000569	Two-hour glucose challenge	Two-hour glucose challenge	Other measurement
468	GCST000416	Testicular cancer	Testicular cancer	Cancer
469	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
470	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
471	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
472	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
473	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
474	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
475	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
476	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
477	GCST002027	Red blood cell traits	Red blood cell traits	Hematological measurement
478	GCST001424	Vitamin B12 levels	Vitamin B12 levels	Other measurement
479	GCST000392	Type 1 diabetes	Type 1 diabetes	Metabolic disorder
480	GCST000456	Pancreatic cancer	Pancreatic cancer	Cancer
481	GCST000445	Atrial fibrillation	Atrial fibrillation	Cardiovascular disease
482	GCST000432	Alcohol dependence	Alcohol dependence	Other measurement
483	GCST000432	Alcohol dependence	Alcohol dependence	Neurological disorder
484	GCST000572	Bone mineral density	Bone mineral density	Other measurement
485	GCST000574	Pancreatic cancer	Pancreatic cancer	Cancer
486	GCST000425	Multiple sclerosis	Multiple sclerosis	Immune system disorder
487	GCST000430	C-reactive protein	C-reactive protein	Inflammatory measurement
488	GCST000565	Angiotensin-converting enzyme activity	Angiotensin-converting enzyme activity	Other measurement
489	GCST000527	Ulcerative colitis	Ulcerative colitis	Immune system disorder
490	GCST001832	Colorectal cancer	Colorectal cancer	Cancer
491	GCST000735	Lumiracoxib-related liver injury	Lumiracoxib-related liver injury	Digestive system disorder
492	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
493	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
494	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
495	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
496	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
497	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
498	GCST000913	Iron status biomarkers	Iron status biomarkers	Other measurement
499	GCST000520	Vitiligo	Vitiligo	Immune system disorder
500	GCST000049	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
501	GCST000531	Inflammatory bowel disease (early onset)	Inflammatory bowel disease (early onset)	Digestive system disorder
502	GCST000860	Moyamoya disease	Moyamoya disease	Cardiovascular disease
503	GCST000792	Warfarin maintenance dose	Warfarin maintenance dose	Response to drug
504	GCST000316	Polyunsaturated fatty acid levels	Polyunsaturated fatty acid levels	Other measurement
505	GCST000323	Response to treatment for acute lymphoblastic leukemia	Response to treatment for acute lymphoblastic leukemia	Response to drug
506	GCST000323	Response to treatment for acute lymphoblastic leukemia	Response to treatment for acute lymphoblastic leukemia	Cancer
507	GCST000808	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
508	GCST000808	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
509	GCST000920	Myocardial infarction	Myocardial infarction	Cardiovascular disease
510	GCST000345	Otosclerosis	Otosclerosis	Neurological disorder
511	GCST001333	Bilirubin levels	Bilirubin levels	Other measurement
512	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
513	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
514	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
515	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
516	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
517	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
518	GCST000618	Response to antipsychotic treatment	Response to antipsychotic treatment	Response to drug
519	GCST000989	Colorectal cancer	Colorectal cancer	Cancer
520	GCST000867	Breast cancer (estrogen-receptor negative)	Breast cancer (estrogen-receptor negative)	Cancer
521	GCST000867	Breast cancer (estrogen-receptor negative)	Breast cancer (estrogen-receptor negative)	Cancer
522	GCST000990	HIV-1 replication	HIV-1 replication	Other disease
523	GCST000938	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
524	GCST000938	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
525	GCST000979	Asthma (childhood onset)	Asthma (childhood onset)	Other disease
526	GCST000979	Asthma (childhood onset)	Asthma (childhood onset)	Other disease
527	GCST000979	Asthma (childhood onset)	Asthma (childhood onset)	Other measurement
528	GCST000802	Ovarian cancer	Ovarian cancer	Cancer
529	GCST000939	Kawasaki disease	Kawasaki disease	Immune system disorder
530	GCST001793	Coagulation factor levels	Coagulation factor levels	Other measurement
531	GCST002172	Alcohol dependence	Alcohol dependence	Other measurement
532	GCST002172	Alcohol dependence	Alcohol dependence	Neurological disorder
533	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
534	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
535	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
536	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
537	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
538	GCST000670	Electroencephalogram traits	Electroencephalogram traits	Other measurement
539	GCST000443	Body mass index and fat mass	Body mass index and fat mass	Other measurement
540	GCST000443	Body mass index and fat mass	Body mass index and fat mass	Body measurement
541	GCST000665	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
542	GCST001486	Fasting plasma glucose	Fasting plasma glucose	Other measurement
543	GCST000412	Male infertility	Male infertility	Other disease
544	GCST000353	Orofacial clefts	Orofacial clefts	Other trait
545	GCST000353	Orofacial clefts	Orofacial clefts	Other measurement
546	GCST000353	Orofacial clefts	Orofacial clefts	Other disease
547	GCST000353	Orofacial clefts	Orofacial clefts	Other trait
548	GCST000352	Body mass (lean)	Body mass (lean)	Other measurement
549	GCST000641	Bipolar disorder or major depressive disorder	Bipolar disorder or major depressive disorder	Neurological disorder
550	GCST000641	Bipolar disorder or major depressive disorder	Bipolar disorder or major depressive disorder	Neurological disorder
551	GCST006865	Bipolar disorder	Bipolar disorder	Neurological disorder
552	GCST006582	Major depressive disorder	Major depressive disorder	Neurological disorder
553	GCST001479	Type 1 diabetes autoantibodies	Type 1 diabetes autoantibodies	Other measurement
554	GCST001479	Type 1 diabetes autoantibodies	Type 1 diabetes autoantibodies	Metabolic disorder
555	GCST001490	Nicotine dependence	Nicotine dependence	Neurological disorder
556	GCST001478	Circulating cell-free DNA	Circulating cell-free DNA	Other measurement
557	GCST000351	Smoking behavior	Smoking behavior	Biological process
558	GCST001571	Age-related macular degeneration	Age-related macular degeneration	Neurological disorder
559	GCST001571	Age-related macular degeneration	Age-related macular degeneration	Neurological disorder
